"Activity" "Subject" "tBdAc_mean_X" "tBdAc_mean_Y" "tBdAc_mean_Z" "tBdAc_std_X" "tBdAc_std_Y" "tBdAc_std_Z" "tGrAc_mean_X" "tGrAc_mean_Y" "tGrAc_mean_Z" "tGrAc_std_X" "tGrAc_std_Y" "tGrAc_std_Z" "tBdAcJk_mean_X" "tBdAcJk_mean_Y" "tBdAcJk_mean_Z" "tBdAcJk_std_X" "tBdAcJk_std_Y" "tBdAcJk_std_Z" "tBdGy_mean_X" "tBdGy_mean_Y" "tBdGy_mean_Z" "tBdGy_std_X" "tBdGy_std_Y" "tBdGy_std_Z" "tBdGyJk_mean_X" "tBdGyJk_mean_Y" "tBdGyJk_mean_Z" "tBdGyJk_std_X" "tBdGyJk_std_Y" "tBdGyJk_std_Z" "tBdAcM_mean" "tBdAcM_std" "tGrAcM_mean" "tGrAcM_std" "tBdAcJkM_mean" "tBdAcJkM_std" "tBdGyM_mean" "tBdGyM_std" "tBdGyJkM_mean" "tBdGyJkM_std" "fBdAc_mean_X" "fBdAc_mean_Y" "fBdAc_mean_Z" "fBdAc_std_X" "fBdAc_std_Y" "fBdAc_std_Z" "fBdAcJk_mean_X" "fBdAcJk_mean_Y" "fBdAcJk_mean_Z" "fBdAcJk_std_X" "fBdAcJk_std_Y" "fBdAcJk_std_Z" "fBdGy_mean_X" "fBdGy_mean_Y" "fBdGy_mean_Z" "fBdGy_std_X" "fBdGy_std_Y" "fBdGy_std_Z" "fBdAcM_mean" "fBdAcM_std" "fBdAcJkM_mean" "fBdAcJkM_std" "fBdGyM_mean" "fBdGyM_std" "fBdGyJkM_mean" "fBdGyJkM_std"
"lying" 1 0.22159824 -0.04051395 -0.11320355 -0.92805647 -0.83682741 -0.8260614 -0.2488818 0.70554977 0.44581772 -0.89683002 -0.90772001 -0.85236629 0.08108653 0.0038382 0.01083424 -0.95848211 -0.92414927 -0.95485511 -0.01655309 -0.06448612 0.14868944 -0.87354387 -0.95109044 -0.90828466 -0.10727095 -0.04151729 -0.07405012 -0.91860852 -0.96790724 -0.95779016 -0.84192915 -0.79514486 -0.84192915 -0.79514486 -0.95439626 -0.92824563 -0.87475955 -0.81901017 -0.96346103 -0.93584098 -0.93909905 -0.86706521 -0.88266688 -0.92443743 -0.83362556 -0.81289156 -0.95707388 -0.92246261 -0.9480609 -0.96416071 -0.93221787 -0.96058699 -0.85024917 -0.95219149 -0.90930272 -0.88229645 -0.95123205 -0.91658251 -0.86176765 -0.79830094 -0.93330036 -0.92180398 -0.86219019 -0.82431944 -0.94236695 -0.93266067
"lying" 2 0.2813734 -0.01815874 -0.10724561 -0.97405946 -0.9802774 -0.9842333 -0.50975424 0.75253664 0.64683488 -0.95901444 -0.98821187 -0.98423042 0.08259725 0.01225479 -0.00180265 -0.98587217 -0.98317254 -0.98844201 -0.01847661 -0.11180082 0.14488285 -0.98827523 -0.98229161 -0.96030656 -0.10197413 -0.03585902 -0.0701783 -0.99323585 -0.98956754 -0.98803582 -0.97743549 -0.97287391 -0.97743549 -0.97287391 -0.9877417 -0.98551808 -0.95001157 -0.96116405 -0.99176707 -0.9897181 -0.97672506 -0.97980088 -0.98438098 -0.97324648 -0.98102511 -0.98479218 -0.98581363 -0.98276825 -0.98619713 -0.98725026 -0.98498739 -0.98934537 -0.98643114 -0.98332164 -0.96267189 -0.98886069 -0.98191062 -0.96317422 -0.9751102 -0.97512139 -0.98537411 -0.98456849 -0.97211297 -0.96109838 -0.9902487 -0.98949266
"lying" 3 0.27551685 -0.01895568 -0.10130048 -0.98277664 -0.96205754 -0.96369103 -0.24175848 0.8370321 0.48870319 -0.98251219 -0.98120275 -0.96480754 0.07698111 0.0138041 -0.00435626 -0.98087931 -0.96871072 -0.98209316 -0.02081705 -0.07185072 0.13799956 -0.97454575 -0.97727265 -0.96350561 -0.1000445 -0.03897718 -0.06873387 -0.98032864 -0.98676274 -0.98333828 -0.97279135 -0.96421818 -0.97279135 -0.96421818 -0.97948459 -0.9761213 -0.95156475 -0.95427511 -0.98671363 -0.98313926 -0.98066561 -0.96116998 -0.96833214 -0.98369113 -0.9640946 -0.96327908 -0.9805132 -0.96875211 -0.97912234 -0.98312262 -0.97104401 -0.9837119 -0.97016726 -0.97809968 -0.96234196 -0.97598643 -0.9770325 -0.96725685 -0.96552428 -0.96835022 -0.9759496 -0.97530538 -0.96458672 -0.95544186 -0.98427825 -0.98256816
"lying" 4 0.26355921 -0.01500318 -0.11068815 -0.95419374 -0.94171404 -0.96266731 -0.42066466 0.9151651 0.34153131 -0.92119997 -0.96981664 -0.97617661 0.09344942 0.00693313 -0.00641054 -0.97830278 -0.94220949 -0.97851198 -0.00923156 -0.09301282 0.1697204 -0.97310242 -0.96110929 -0.96207376 -0.10501988 -0.03812304 -0.07121563 -0.9751032 -0.98685563 -0.98396536 -0.9545576 -0.93129222 -0.9545576 -0.93129222 -0.97009577 -0.96078643 -0.93023646 -0.94703178 -0.9850685 -0.98269821 -0.95880208 -0.93888337 -0.96750428 -0.95246488 -0.94638097 -0.96215445 -0.97854246 -0.94396999 -0.97538333 -0.98007929 -0.94436688 -0.98026124 -0.96720374 -0.97218784 -0.96147926 -0.97509474 -0.9561825 -0.96580747 -0.9393897 -0.93718798 -0.96228713 -0.95803712 -0.96155666 -0.94710033 -0.98360907 -0.98254363
"lying" 5 0.27833433 -0.01830421 -0.1079376 -0.96593451 -0.96929561 -0.96856252 -0.4834706 0.95489035 0.26364469 -0.94569534 -0.98596405 -0.97707664 0.08481648 0.00747461 -0.00304067 -0.98330786 -0.96456043 -0.98541937 -0.0218935 -0.07987096 0.15989437 -0.97949871 -0.97742737 -0.96058378 -0.10211412 -0.04044469 -0.07083097 -0.98342226 -0.98375948 -0.98967959 -0.96677788 -0.95861279 -0.96677788 -0.95861279 -0.98014125 -0.97747715 -0.9469383 -0.95828792 -0.98641942 -0.98377138 -0.96874168 -0.96541952 -0.97700772 -0.96495389 -0.97290919 -0.96588219 -0.98268966 -0.96532857 -0.98325031 -0.98562527 -0.96624258 -0.9861356 -0.97579749 -0.97824965 -0.96320295 -0.98070577 -0.9772578 -0.96330574 -0.96223498 -0.96252537 -0.97735638 -0.97638193 -0.96825707 -0.95926306 -0.98461803 -0.98343449
"lying" 6 0.24865652 -0.01025292 -0.13311957 -0.93404942 -0.92464483 -0.9252161 -0.47670988 0.95659381 0.17586771 -0.88774631 -0.95916196 -0.92813074 0.0963482 -0.00114529 0.00328817 -0.96634105 -0.93367449 -0.95964606 -0.0079605 -0.10721832 0.17910206 -0.95537823 -0.94363495 -0.93914188 -0.11126728 -0.04241043 -0.07177747 -0.93961161 -0.95862882 -0.95957907 -0.91887885 -0.89732625 -0.91887885 -0.89732625 -0.9547505 -0.95034193 -0.90898017 -0.9209145 -0.95564574 -0.953157 -0.93911425 -0.92370679 -0.93804491 -0.93246294 -0.92971122 -0.92400475 -0.96707244 -0.93604342 -0.95442584 -0.96861916 -0.93571745 -0.96356754 -0.93543977 -0.94177154 -0.93263661 -0.96216498 -0.9453651 -0.94713677 -0.91235165 -0.90537398 -0.94865547 -0.95155266 -0.93015364 -0.92869489 -0.95369596 -0.95550465
"lying" 7 0.25017669 -0.02044115 -0.10136104 -0.93651361 -0.92626267 -0.95297837 -0.50281425 0.39344428 0.90753782 -0.91422127 -0.95554355 -0.96190898 0.0968904 0.02506242 -0.01316539 -0.98097776 -0.97309316 -0.97298306 -0.00282642 -0.1336057 0.15592003 -0.96012682 -0.94507194 -0.95529489 -0.10594424 -0.03588974 -0.06719018 -0.97383723 -0.97648373 -0.98887188 -0.93639202 -0.90703951 -0.93639202 -0.90703951 -0.98012724 -0.96731093 -0.91579363 -0.91866246 -0.98300883 -0.97120514 -0.95342425 -0.94219395 -0.95861164 -0.93112058 -0.9229179 -0.95338065 -0.98039305 -0.97253165 -0.96952498 -0.98356018 -0.97588614 -0.975073 -0.95368455 -0.95757021 -0.95690531 -0.96234825 -0.93972787 -0.95887641 -0.92797688 -0.91054246 -0.96806626 -0.96535923 -0.94113072 -0.91889252 -0.97411791 -0.96940304
"lying" 8 0.26125428 -0.02122817 -0.10224537 -0.94304122 -0.93489116 -0.93249145 -0.40593004 0.58992243 0.71983154 -0.91887319 -0.95799004 -0.94183626 0.08783269 0.02332992 -0.01692188 -0.97325304 -0.97652095 -0.96608757 0.00535361 -0.08913741 0.13818831 -0.96520402 -0.95203939 -0.96758975 -0.10644501 -0.03897352 -0.06941232 -0.96992408 -0.97418645 -0.9876012 -0.93530863 -0.91325033 -0.93530863 -0.91325033 -0.97314749 -0.96295452 -0.92425335 -0.93247076 -0.97843819 -0.96902911 -0.95353856 -0.95181666 -0.94426951 -0.9401253 -0.93123676 -0.9311465 -0.9731106 -0.97587744 -0.96211114 -0.97595991 -0.97917088 -0.96869922 -0.95790389 -0.95741116 -0.96746124 -0.96784636 -0.95031647 -0.97067197 -0.93227965 -0.91725798 -0.96179285 -0.96379109 -0.94452895 -0.93678697 -0.96840395 -0.97179328
"lying" 9 0.25919554 -0.02052682 -0.10754972 -0.94233309 -0.91629278 -0.94070729 -0.58025283 -0.1191542 0.95787304 -0.92182106 -0.96999449 -0.97120469 0.08807345 0.01156173 -0.00705368 -0.96474047 -0.96399668 -0.95856246 -0.01363204 -0.15890292 0.10127501 -0.94224651 -0.92661853 -0.96159537 -0.10384668 -0.02755226 -0.05694905 -0.94532904 -0.96217024 -0.97707616 -0.93086844 -0.9151268 -0.93086844 -0.9151268 -0.96337455 -0.95502681 -0.9071251 -0.89855787 -0.96452482 -0.95280156 -0.94686549 -0.9343666 -0.945919 -0.94098103 -0.91283675 -0.94197116 -0.96430406 -0.96408281 -0.95590922 -0.9686013 -0.96663414 -0.95971472 -0.93029792 -0.93457966 -0.95981501 -0.94638915 -0.92313194 -0.96568631 -0.9266043 -0.92192974 -0.95432059 -0.95509471 -0.91860534 -0.90340058 -0.95580625 -0.95229047
"lying" 10 0.28023057 -0.02429448 -0.11716864 -0.96828368 -0.9464543 -0.95947149 -0.45306974 -0.13929768 -0.03112162 -0.95453194 -0.96670116 -0.96304564 0.07381506 0.015699 0.0071669 -0.97800747 -0.96693079 -0.97625666 -0.01955594 -0.07703257 0.10472048 -0.9617132 -0.95366021 -0.9719406 -0.10030825 -0.03887979 -0.05907449 -0.96590058 -0.96662104 -0.9839493 -0.95678182 -0.94030165 -0.95678182 -0.94030165 -0.97623444 -0.96755698 -0.937591 -0.92747117 -0.97083085 -0.95963293 -0.96918421 -0.95434185 -0.96430085 -0.96796804 -0.94622915 -0.95981367 -0.97901467 -0.96803917 -0.97259221 -0.97890436 -0.96812069 -0.97858234 -0.95379391 -0.95467003 -0.96975578 -0.96454457 -0.9534535 -0.9752988 -0.95084811 -0.94430497 -0.96856112 -0.96537755 -0.93769264 -0.93370132 -0.96097682 -0.96077288
